Location Name,Vendor Name,Item Code,Item Description,UOM,Item UOM,Pack,Size,Unit,Contracted Price ($),Last Purchased Date,Last Purchased Price ($),Close Watch,Product(s)
Lea James Hot Chicken,"JAKES, INC.",OLVS11,VINEGAR WHITE 40 GR,ea,each,6,1,gal,0,5/30/2025,20.3,FALSE,"Dry Goods, Vinegar, White"
Lea James Hot Chicken,US Foods,OLVS11,VINEGAR WHITE 40 GR,ea,,1,1,gal,0,6/27/2025,4.24,FALSE,"Dry Goods, SO VINEGAR WH 50GR"
Lea James Hot Chicken,GORDON FOOD SERVICES,629640,VINEGAR WHT DISTILLED 5% 4-1GAL GCHC,cs,ea,4,1,gallon,0,11/26/2024,24,FALSE,
Lea James Hot Chicken,"JAKES, INC.",OLVS13,VINEGAR WINE RED,bottle,,1,1,gal,0,5/23/2025,14.42,FALSE,"Dry Goods, Vinegar, Red Wine"
Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,VINRGAR WHITE CQ 1GAL,case,gal,4,1,gal,0,4/1/2025,12.94,FALSE,"Dry Goods, Vinegar, White"
Lea James Hot Chicken,"JAKES, INC.",CDNK24,WATER BOTTLED PURIFIED .5,case,ea,24,16.9,fl,0,6/9/2025,5.7,FALSE,"N/A Bev, Water, Still, Bottles"
Lea James Hot Chicken,US Foods,CDNK24,WATER BOTTLED PURIFIED .5,cs,ea,24,12.5,oz,0,7/2/2025,5.7,FALSE,"N/A Bev, WATER  PRFID PLST BTL TWIST"
Lea James Hot Chicken,"JAKE'S, INC.",CDNK24,WATER BOTTLED PURIFIED .5,cs,ea,24,16.9,oz,0,5/26/2025,6.57,FALSE,"N/A Bev, WATER  PRFID PLST BTL TWIST"
Lea James Hot Chicken,"JAKES, INC.",272352,WATER MINERAL TOPO CHICO GLS,cs,each,24,12,oz,0,6/9/2025,36.66,FALSE,"N/A Bev, Water, Mineral, Topo Chico, Bottle"
Lea James Hot Chicken,"JAKE'S, INC.",272352,WATER MINERAL TOPO CHICO MEX,cs,,24,12,oz,0,6/2/2025,40.05,FALSE,"N/A Bev, Water, Mineral, Topo Chico, Bottle"
Lea James Hot Chicken,US Foods,6337570,WATER  MINRL IMP MEXO,cs,each,24,11.5,fl,0,8/15/2024,30.64,TRUE,"N/A Bev, Water, Mineral, Mexico"
Lea James Hot Chicken,US Foods,6993026,WATER PLST BTL CLR TWIST CAP,cs,each,24,1,each,0,7/31/2023,11.11,FALSE,"N/A Bev, WATER PLST BTL CLR TWIST CAP"
Lea James Hot Chicken,US Foods,5483748,"WATER, PRFID PLST BTL TUIST 24|16.9 OZ",cs,ea,24,16.9,oz,0,5/17/2024,5.81,FALSE,"N/A Bev, WATER  PRFID PLST BTL TWIST"
Lea James Hot Chicken,US Foods,5488748,WATER  PRFID PLST BTL TWIST,cs,each,24,16.9,oz,0,9/10/2024,5.81,FALSE,"N/A Bev, WATER  PRFID PLST BTL TWIST"
Lea James Hot Chicken,US Foods,405123,WATER TOPO CHICO ?LIME TOUdC,cs,ea,24,1,ea,0,7/2/2025,37.3,FALSE,"N/A Bev, Soda, Jarritos, Lime"
Lea James Hot Chicken,COMMON BOND BISTRO & BAKERY,90880_XC6857388,White Milk Bread Loaf WS,loaf,slice,10,1,ea,0,6/2/2024,2.19,FALSE,"Dry Goods, Bread, Texas Toast"
Lea James Hot Chicken,Jorge Garza,58897_XC11725429,Whole Milk,gal,,1,1,gallon,0,3/24/2025,4.74,FALSE,"Dairy, Milk, Whole"
Lea James Hot Chicken,RESTAURANT DEPOT,8.71E+11,WRAP 12'' BLUE CHK,cs,,1,1000,ea,0,4/2/2025,24.43,FALSE,"Non Con, Basket Liners"
Lea James Hot Chicken,RESTAURANT DEPOT,2170089,"WRAP 12"" BLUE CHK",cs,,1,1000,ct,0,5/28/2025,22.59,FALSE,"Non Con, Basket Liners"
Lea James Hot Chicken,Jorge Garza,58897_XC10172088,Yellow Onion,lb,,1,1,lb,0,12/17/2024,0.59,FALSE,"Produce, Onions, Yellow"
